<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,   1742.00000,     23.46002,    -15.11365
      0.60515,   1710.00000,     23.46000,    -15.13360
      1.21029,   1543.00000,     23.45999,    -15.15356
      1.81544,   1479.00000,     23.45998,    -15.17351
      2.42059,   1482.00000,     23.45996,    -15.19347
      3.02573,   1508.00000,     23.45995,    -15.21343
      3.63088,   1527.00000,     23.45993,    -15.23338
      4.23603,   1539.00000,     23.45992,    -15.25334
      4.84117,   1518.00000,     23.45991,    -15.27330
      5.44632,   1490.00000,     23.45989,    -15.29325
      6.05147,   1428.00000,     23.45988,    -15.31321
      6.65662,   1402.00000,     23.45986,    -15.33317
      7.26176,   1383.00000,     23.45985,    -15.35312
      7.86691,   1355.00000,     23.45984,    -15.37308
      8.47206,   1333.00000,     23.45982,    -15.39304
      9.07720,   1305.00000,     23.45981,    -15.41299
      9.68235,   1287.00000,     23.45979,    -15.43295
     10.28750,   1266.00000,     23.45978,    -15.45290
     10.89264,   1165.00000,     23.45976,    -15.47286
     11.49779,   1130.00000,     23.45975,    -15.49282
     12.10294,   1126.00000,     23.45974,    -15.51277
     12.70808,   1152.00000,     23.45972,    -15.53273
     13.31323,   1129.00000,     23.45971,    -15.55269
     13.91838,   1104.00000,     23.45969,    -15.57264
     14.52352,   1088.00000,     23.45968,    -15.59260
     15.12867,   1068.00000,     23.45967,    -15.61256
     15.73382,   1056.00000,     23.45965,    -15.63251
     16.33896,   1054.00000,     23.45964,    -15.65247
     16.94411,   1052.00000,     23.45962,    -15.67243
     17.54926,   1024.00000,     23.45961,    -15.69238
     18.15440,    942.00000,     23.45960,    -15.71234
     18.75955,    872.00000,     23.45958,    -15.73230
     19.36470,    863.00000,     23.45957,    -15.75225
     19.96985,    924.00000,     23.45955,    -15.77221
     20.57499,   1367.00000,     23.45954,    -15.79216
     21.18014,   1452.00000,     23.45952,    -15.81212
     21.78529,   1457.00000,     23.45951,    -15.83208
     22.39043,   1424.00000,     23.45950,    -15.85203
     22.99558,   1395.00000,     23.45948,    -15.87199
     23.60073,   1374.00000,     23.45947,    -15.89195
     24.20587,   1375.00000,     23.45945,    -15.91190
     24.81102,   1374.00000,     23.45944,    -15.93186
     25.41617,   1374.00000,     23.45943,    -15.95182
     26.02131,   1376.00000,     23.45941,    -15.97177
     26.62646,   1383.00000,     23.45940,    -15.99173
     27.23161,   1378.00000,     23.45938,    -16.01169
     27.83675,   1347.00000,     23.45937,    -16.03164
     28.44190,   1347.00000,     23.45936,    -16.05160
     29.04705,   1330.00000,     23.45934,    -16.07156
     29.65219,   1312.00000,     23.45933,    -16.09151
     30.25734,   1220.00000,     23.45931,    -16.11147
     30.86249,   1195.00000,     23.45930,    -16.13142
     31.46763,   1192.00000,     23.45928,    -16.15138
     32.07278,   1166.00000,     23.45927,    -16.17134
     32.67793,   1107.00000,     23.45926,    -16.19129
     33.28308,    932.00000,     23.45924,    -16.21125
     33.88822,    831.00000,     23.45923,    -16.23121
     34.49337,    728.00000,     23.45921,    -16.25116
     35.09852,    645.00000,     23.45920,    -16.27112
     35.70366,    513.00000,     23.45918,    -16.29108
     36.30881,    351.00000,     23.45917,    -16.31103
     36.91396,    255.00000,     23.45916,    -16.33099
     37.51910,    171.00000,     23.45914,    -16.35095
     38.12425,     92.00000,     23.45913,    -16.37090
     38.72940,     -3.00000,     23.45911,    -16.39086
     39.33454,   -107.00000,     23.45910,    -16.41081
     39.93969,   -375.00000,     23.45909,    -16.43077
     40.54484,   -531.00000,     23.45907,    -16.45073
     41.14998,   -658.00000,     23.45906,    -16.47068
     41.75513,   -733.00000,     23.45904,    -16.49064
     42.36028,   -789.00000,     23.45903,    -16.51060
     42.96542,   -940.00000,     23.45901,    -16.53055
